idx,miou,dice,pixel_acc
2985,0.7286,0.8211,0.9112
2986,0.6347,0.7694,0.813
2987,0.6966,0.8038,0.8795
2988,0.4772,0.6409,0.6807
2989,0.6075,0.7483,0.7863
2990,0.512,0.6346,0.8693
2991,0.8878,0.9379,0.9728
2992,0.488,0.6227,0.6735
2993,0.8495,0.913,0.9632
2994,0.866,0.9241,0.9587
2995,0.8392,0.9061,0.9612
2996,0.86,0.9203,0.9805
2997,0.7856,0.8708,0.9252
2998,0.7196,0.8161,0.9204
2999,0.8298,0.9011,0.973
3000,0.8299,0.9013,0.9731
3001,0.6324,0.7572,0.8558
3002,0.8295,0.9001,0.9471
3003,0.7463,0.8434,0.8819
3004,0.7834,0.8752,0.8937
3005,0.6971,0.8086,0.8837
3006,0.8195,0.8936,0.9471
3007,0.7544,0.8438,0.9185
3008,0.7694,0.8616,0.8867
3009,0.8484,0.912,0.9481
3010,0.8796,0.9322,0.9698
3011,0.8427,0.9084,0.9523
3012,0.8945,0.9409,0.9782
3013,0.7622,0.8556,0.9169
3014,0.7494,0.8434,0.8947
3015,0.7474,0.8438,0.8848
3016,0.7112,0.8228,0.8624
3017,0.6811,0.7986,0.8481
3018,0.7922,0.8762,0.9094
3019,0.7982,0.8801,0.9503
3020,0.7926,0.8766,0.9126
3021,0.7755,0.8603,0.9247
3022,0.8987,0.9444,0.9747
3023,0.816,0.892,0.9567
3024,0.8215,0.8947,0.9334
3025,0.7708,0.8626,0.9301
3026,0.7273,0.8286,0.9136
3027,0.8475,0.9103,0.9625
3028,0.8408,0.9062,0.9647
3029,0.8629,0.9214,0.9673
3030,0.802,0.882,0.9435
3031,0.8485,0.9114,0.9619
3032,0.8249,0.8984,0.9738
3033,0.7767,0.8625,0.9259
3034,0.8733,0.9285,0.9715
3035,0.8449,0.9106,0.9543
3036,0.8588,0.9203,0.9656
3037,0.7628,0.8587,0.9116
3038,0.7657,0.8506,0.945
3039,0.8047,0.8837,0.9514
3040,0.8174,0.8929,0.9436
3041,0.8812,0.9331,0.9716
3042,0.7687,0.8537,0.9227
3043,0.8269,0.9001,0.9254
3044,0.6948,0.8095,0.8674
3045,0.8184,0.8904,0.9387
3046,0.707,0.8173,0.8541
3047,0.735,0.8368,0.8742
3048,0.7506,0.8406,0.9185
3049,0.823,0.8986,0.9301
3050,0.7499,0.8419,0.9024
3051,0.8538,0.9161,0.9519
3052,0.8159,0.8905,0.9312
3053,0.7386,0.8359,0.935
3054,0.8111,0.8887,0.9382
3055,0.7833,0.8681,0.9446
3056,0.6643,0.783,0.8652
3057,0.7787,0.8615,0.9233
3058,0.7706,0.8586,0.909
3059,0.65,0.7768,0.8566
3060,0.7845,0.8705,0.953
3061,0.6079,0.7456,0.784
3062,0.7611,0.8505,0.9113
3063,0.8642,0.9236,0.9554
3064,0.6557,0.7788,0.827
3065,0.8481,0.9117,0.9577
3066,0.8061,0.8839,0.9529
3067,0.8157,0.8925,0.9255
3068,0.791,0.8726,0.9318
3069,0.8505,0.9144,0.9519
3070,0.7213,0.8268,0.8906
3071,0.5844,0.6966,0.9838
3072,0.6878,0.8009,0.8652
3073,0.8089,0.8856,0.9563
3074,0.7639,0.856,0.9283
3075,0.8149,0.8884,0.9488
3076,0.838,0.9064,0.9377
3077,0.7832,0.8673,0.9699
3078,0.7271,0.8245,0.9539
3079,0.6081,0.7511,0.7823
3080,0.713,0.8164,0.9485
3081,0.8034,0.8845,0.9318
3082,0.7315,0.8293,0.942
3083,0.7278,0.8289,0.9373
3084,0.78,0.8647,0.9108
3085,0.6765,0.788,0.9279
3086,0.7253,0.8218,0.9489
3087,0.7605,0.8465,0.9509
3088,0.7679,0.8575,0.9413
3089,0.8512,0.9143,0.9599
